"camp_name","dataextract_dur","dataextract_start","dataextract_stop","datavalidate_dur","datavalidate_start","datavalidate_stop","duration","end_time","fi_enabled","launch_dur","launch_start","launch_stop","launchfi_dur","launchfi_start","launchfi_stop","peak_dur","peak_start","peak_stop","postfinish_dur","postfinish_start","postfinish_stop","postlaunch_dur","postlaunch_start","postlaunch_stop","prelaunch_dur","prelaunch_start","prelaunch_stop","run_n","start_time","transform_dur","transform_start","transform_stop"
"GoldenRun_FT_V5_1",6.198883056640625e-06,1779053883.9880424,1779053883.9880486,1.0013580322265625e-05,1779053883.9880865,1779053883.9880965,101.11730170249939,1779053883.9881043,"False",0.030761003494262695,1779053782.8724415,1779053782.9032025,6.4373016357421875e-06,1779053782.9032636,1779053782.90327,101.08472204208374,1779053782.9032834,1779053883.9880054,1.239776611328125e-05,1779053883.9880204,1779053883.9880328,1.5497207641601562e-05,1779053782.9032354,1779053782.903251,1.4066696166992188e-05,1779053782.8724182,1779053782.8724322,1.0,1779053782.8708026,1.1920928955078125e-05,1779053883.98806,1779053883.988072
"GoldenRun_FT_V5_1",8.58306884765625e-06,1779053985.2540786,1779053985.2540872,1.0251998901367188e-05,1779053985.2561288,1779053985.256139,101.10757231712341,1779053985.2561674,"False",0.007189512252807617,1779053884.1489518,1779053884.1561413,6.4373016357421875e-06,1779053884.156193,1779053884.1561995,101.09782314300537,1779053884.1562138,1779053985.254037,1.049041748046875e-05,1779053985.2540572,1779053985.2540677,1.1920928955078125e-05,1779053884.1561708,1779053884.1561828,1.049041748046875e-05,1779053884.1489332,1779053884.1489437,2.0,1779053884.148595,1.1920928955078125e-05,1779053985.2541006,1779053985.2541125
"GoldenRun_FT_V5_1",9.059906005859375e-06,1779054086.5126343,1779054086.5126433,1.1205673217773438e-05,1779054086.512697,1779054086.5127082,101.1482298374176,1779054086.512753,"False",0.044022321701049805,1779053985.381979,1779053985.4260013,6.67572021484375e-06,1779053985.4260564,1779053985.426063,101.08651685714722,1779053985.4260774,1779054086.5125942,1.1205673217773438e-05,1779054086.5126123,1779054086.5126235,1.2636184692382812e-05,1779053985.426034,1779053985.4260466,1.2636184692382812e-05,1779053985.381957,1779053985.3819697,3.0,1779053985.3645232,1.1444091796875e-05,1779054086.5126646,1779054086.512676
"GoldenRun_FT_V5_1",8.58306884765625e-06,1779054188.3491745,1779054188.349183,7.3909759521484375e-06,1779054188.3492236,1779054188.349231,101.23542261123657,1779054188.3492556,"False",0.09211254119873047,1779054087.1936123,1779054087.2857249,7.152557373046875e-06,1779054087.2857795,1779054087.2857866,101.06333565711975,1779054087.2858033,1779054188.349139,1.0967254638671875e-05,1779054188.3491528,1779054188.3491638,1.3113021850585938e-05,1779054087.2857568,1779054087.28577,1.3113021850585938e-05,1779054087.1935613,1779054087.1935744,4.0,1779054087.113833,1.1444091796875e-05,1779054188.3491974,1779054188.3492088
"GoldenRun_FT_V5_1",9.5367431640625e-06,1779054289.577142,1779054289.5771515,7.62939453125e-06,1779054289.5771906,1779054289.5771983,101.12467122077942,1779054289.577225,"False",0.051877737045288086,1779054188.4613283,1779054188.513206,8.344650268554688e-06,1779054188.5132732,1779054188.5132816,101.06380939483643,1779054188.5132968,1779054289.5771062,1.1444091796875e-05,1779054289.5771198,1779054289.5771313,1.71661376953125e-05,1779054188.5132449,1779054188.513262,1.1205673217773438e-05,1779054188.4613085,1779054188.4613197,5.0,1779054188.4525537,1.1444091796875e-05,1779054289.577168,1779054289.5771794
"GoldenRun_FT_V5_1",8.106231689453125e-06,1779054390.848916,1779054390.8489242,7.152557373046875e-06,1779054390.848965,1779054390.848972,101.11357283592224,1779054390.848999,"False",0.02767181396484375,1779054289.7357535,1779054289.7634254,7.152557373046875e-06,1779054289.7634797,1779054289.7634869,101.08537888526917,1779054289.7635026,1779054390.8488815,1.1205673217773438e-05,1779054390.8488944,1779054390.8489056,1.239776611328125e-05,1779054289.7634568,1779054289.7634692,1.0251998901367188e-05,1779054289.7357352,1779054289.7357454,6.0,1779054289.7354262,1.1205673217773438e-05,1779054390.8489413,1779054390.8489525
"GoldenRun_FT_V5_1",1.0728836059570312e-05,1779054491.993244,1779054491.9932547,8.106231689453125e-06,1779054491.9932976,1779054491.9933057,101.04797434806824,1779054491.9933283,"False",0.032506465911865234,1779054390.9456563,1779054390.9781628,7.3909759521484375e-06,1779054390.9782133,1779054390.9782207,101.01495575904846,1779054390.9782364,1779054491.9931922,1.5974044799804688e-05,1779054491.9932132,1779054491.9932292,1.2874603271484375e-05,1779054390.9781914,1779054390.9782043,1.0251998901367188e-05,1779054390.9456387,1779054390.945649,7.0,1779054390.945354,1.1205673217773438e-05,1779054491.9932716,1779054491.9932828
"GoldenRun_FT_V5_1",1.6450881958007812e-05,1779054593.23764,1779054593.2376564,8.821487426757812e-06,1779054593.237711,1779054593.2377198,101.13273549079895,1779054593.2377536,"False",0.029615163803100586,1779054492.1053278,1779054492.134943,8.821487426757812e-06,1779054492.1349947,1779054492.1350036,101.10258364677429,1779054492.1350188,1779054593.2376025,1.049041748046875e-05,1779054593.2376165,1779054593.237627,1.239776611328125e-05,1779054492.1349728,1779054492.1349852,9.5367431640625e-06,1779054492.1053104,1779054492.10532,8.0,1779054492.1050181,1.6689300537109375e-05,1779054593.2376764,1779054593.237693
"GoldenRun_FT_V5_1",1.0728836059570312e-05,1779054694.4651637,1779054694.4651744,7.62939453125e-06,1779054694.4652202,1779054694.4652278,101.14592599868774,1779054694.465257,"False",0.053340911865234375,1779054593.330055,1779054593.383396,6.4373016357421875e-06,1779054593.3834496,1779054593.383456,101.0816547870636,1779054593.3834698,1779054694.4651246,1.1920928955078125e-05,1779054694.4651403,1779054694.4651523,1.3113021850585938e-05,1779054593.3834274,1779054593.3834405,1.049041748046875e-05,1779054593.3300352,1779054593.3300457,9.0,1779054593.319331,1.2159347534179688e-05,1779054694.4651945,1779054694.4652066
"GoldenRun_FT_V5_1",8.58306884765625e-06,1779054795.6532123,1779054795.653221,7.3909759521484375e-06,1779054795.6532803,1779054795.6532876,101.10134315490723,1779054795.6533113,"False",0.041184186935424805,1779054694.552286,1779054694.59347,7.62939453125e-06,1779054694.5935206,1779054694.5935283,101.0596330165863,1779054694.5935438,1779054795.6531768,1.0728836059570312e-05,1779054795.6531909,1779054795.6532016,1.239776611328125e-05,1779054694.5934973,1779054694.5935097,1.0013580322265625e-05,1779054694.552268,1779054694.552278,10.0,1779054694.551968,3.409385681152344e-05,1779054795.6532345,1779054795.6532686
